"Question","Option A","Option B","Option C","Option D","Correct Answer"
"Q1","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q2","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q3","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q4","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q5","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q6","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q7","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q8","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q9","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q10","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q11","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q12","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q13","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q14","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q15","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q16","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q17","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q18","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q19","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q20","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q21","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q22","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q23","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q24","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q25","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
"Q26","A1, b1","A2, b2","A3, b3","A4, b4","A4, b4"
